CLUSTER_ID,RA_BCG,DEC_BCG,PZ_BCG,R_500,M_500,SHAPE_R_BCG,R_EIN,GRADE
632800074,270.497942369007,48.31917177365,0.39766356,0.765469483038564,14.2880086942465,7.40103,5.5,C
652800017,227.828047580378,47.2278607789243,0.44303748,0.824309280301139,14.407442365342,2.619616,5.4,A
667500113,98.57997518096111,46.955206488711866,0.64205164,0.6930084799247878,14.284027056789617,0.6843159,7.6,C
668100101,108.299540430234,45.836255946557,0.14422488,0.638187561616715,13.9299222246927,1.2718382,6.0,B
692300113,121.2456253952608,46.05102865256588,0.43805948,0.7446197378790055,14.272445919569575,2.7206564,15.7,C
695500060,170.12869616216997,45.576561710895824,0.17572394,0.6542335017777402,13.976460296041074,3.3800418,13.3,C
717200031,138.394718785698,44.9514271517865,0.73725176,0.496551425967301,13.8991852380299,0.35772836,8.4,C
722800119,222.096857908434,45.0060449000113,0.613033,0.946448742480129,14.6750253871512,3.6938753,14.8,B
723500058,233.8381666678389,44.907115042892485,0.39584842,0.6057716257928168,13.982239320239785,0.5858516,3.5,C
741500134,140.405739125746,44.2852342300099,0.57830274,0.623375709555365,14.1129650886181,1.282143,4.6,C
766500079,147.3861147645029,43.64295774586082,0.5597842,0.8683315445754968,14.535182367424577,2.3307176,14.5,C
768500026,175.73213833853242,43.13392430585965,0.5218051,0.8214002252436238,14.443176615656414,4.4676204,4.2,C
796200101,215.292581023478,42.15346824442219,0.3583901,0.7660683212890468,14.269392765599603,0.70572877,8.7,C
818500087,171.3183445214117,42.486759806027,0.19585918,0.95532416051728,14.478937818665166,11.780042,10.4,B
821000055,205.886875309182,41.9176307186722,0.41983348,0.899673444993807,14.5096599390382,6.935045,12.4,A
822800115,231.080127676313,41.7951460361688,0.39340577,0.7100811538250663,14.188009346814573,1.7821417,7.6,C
839200079,101.45852214084124,41.19325827708038,0.50845355,1.1033525221306055,14.820781188160913,5.1176777,25.4,C
841200108,128.80484947191,41.1131405428269,0.6347904,0.850542160204724,14.5471249059235,0.29785627,5.1,B
841300108,130.752049520585,41.528564054022,0.52503175,0.563539148257685,13.9539475896569,9.263372,9.7,C
842400116,146.219883274987,40.2997094360611,0.5129716,0.578618950643324,13.982140812531,0.6141684,4.6,B
844400054,174.05998085616045,41.05414724820709,0.4981643,1.0197818840083623,14.7128715076967,5.0408893,5.2,B
847200099,213.68143476967603,41.07727950251997,0.37050822,0.9084206886242968,14.497484793550615,4.2579083,10.9,B
865200110,107.577512983123,40.1752218394093,0.31743357,0.934543134014965,14.5081810885582,6.864207,7.6,B
867000078,132.638214149678,40.6196110835937,0.4733734,0.872494597824613,14.4969311578733,4.5046916,3.0,B
869200079,164.25216250827054,40.4341688975238,0.3055687,0.6170522275007676,13.961552731758903,2.9513433,6.5,C
875400030,250.723153271689,39.8592348725847,0.55720544,0.466030921442199,13.7230356025073,0.7916233,6.0,C
897400013,199.547976608055,39.7074767056893,0.48108697,0.780900729670656,14.3563784378906,3.985564,9.5,A
917700073,125.491011980895,38.50899103335635,0.5052761,0.6892717263395104,14.206175634937985,1.3700796,10.0,C
918600026,138.912542109155,38.4495923652057,0.3953363,1.0161981719168,14.6559905596306,5.5189447,11.9,B
942000012,106.3421969442986,37.76921231321702,0.5017084,0.8911809997909651,14.539068123692031,4.8766093,7.8,B
972500022,176.64360501906032,37.66268125767971,0.42787176,0.7186732510311785,14.221068604096793,3.3994186,7.0,C
973600007,191.8527434362124,36.73525266616848,0.60513586,0.5952828688347553,14.066803968905052,1.4908051,4.9,C
1002500017,237.74505060185413,36.68627665686235,0.24312548,0.7078304704465331,14.110362998243724,1.3588264,5.1,C
1019200035,113.675143046646,35.80620945715395,0.5797806,0.7039837411106546,14.272169297147563,3.1789086,12.1,C
1024700127,190.5521897431192,35.89056230797094,0.35099265,0.6719883933226071,14.095004158278284,3.3621562,4.1,C
1027700133,232.855678957584,35.5611814112619,0.34791115,0.847595584451814,14.395958223874,3.5112238,9.2,B
1046500014,136.4227369929637,34.89977598279062,0.52595,0.9205082151434552,14.59373160173888,2.4167244,5.9,C
1048800028,168.5801965687548,34.5422599775467,0.38531435,0.6932805120889561,14.15275342695174,1.0711267,5.9,C
1071400020,126.858445898651,34.5049154309138,0.15575816,0.741402722988199,14.1303976520565,1.0316857,7.0,B
1072900051,148.167591267635,34.579476901249,0.3667184,1.02442072858192,14.6521694198279,4.1971545,7.0,B
1073500132,156.792117530295,33.5461359986768,0.5903576,0.639039211001635,14.1515478671119,1.098649,3.0,C
1100600034,176.8471049404429,33.53157629422104,0.21245071,0.8322992639047936,14.307010624075756,7.0937495,4.9,A
1103600073,219.2197989560267,33.22330816207364,0.24971658,0.746889819384683,14.183470544468692,0.9687574,4.6,C
1124500021,153.79187606595,32.5312681713475,0.25561863,1.09254710596745,14.6818293505324,6.9443116,12.9,A
1129200065,219.985477805178,32.840157684757,0.41275468,0.998106629933931,14.6413592810393,12.3664,6.5,B
1146500025,102.619349866112,32.7367862684277,0.70973116,0.603511603128244,14.1390535709568,0.7282048,6.5,A
1150200108,155.18367096375476,31.91664032836613,0.28409573,0.5886310112149712,13.889699101603334,3.2491684,6.8,C
1152400076,185.2807095174764,32.001227053620624,0.20708722,0.9472971053340944,14.473137588407347,0.50548744,12.6,B
1154500067,214.92872641376024,31.75839338758863,0.28085342,0.6742805784251179,14.06512709528125,2.5434172,12.4,C
1173600047,124.818064630103,31.4989742842689,0.60802794,0.660841539687694,14.2044270246235,2.3982732,3.5,B
1179000033,200.70313251303787,31.65500659449342,0.2741796,1.1179725811994528,14.72068547906973,6.987501,21.0,C
1182100005,243.9450067122546,30.957053960361804,0.3826271,0.8730930331224016,14.45186188952176,10.2704,6.8,C
1199700033,130.65033423412962,30.369313158742536,0.7788936,0.6194081914683977,14.208819669075108,1.1786463,7.6,C
1206200117,221.6416997757052,30.54953624212377,0.43144062,1.0229434853398756,14.682838227624115,6.02576,17.0,B
1225900049,139.895990513135,30.5323092284324,0.40165848,0.78114750883549,14.3164341645201,4.3589296,7.0,B
1227300029,159.284049343067,29.6917779593905,0.42234185,0.773977308932994,14.3148587481735,3.2432184,4.0,B
1229600030,191.9642933640604,29.46950816528572,0.21711822,0.6137161827788666,13.91225062059052,3.8434262,8.7,C
1231800005,222.4813846544401,29.90358398932932,0.28191975,0.6703937252484959,14.058109259737876,4.4939885,4.7,C
