CLUSTER_ID,RA_BCG,DEC_BCG,PZ_BCG,R_500,M_500,SHAPE_R_BCG,R_EIN,GRADE
50800079,161.62213742522323,78.12892523315807,0.23303491,1.032345007986428,14.597285228203484,6.6149163,10.3,C
51300001,189.2881685859425,77.87221609787862,0.23109065,0.7831660401899022,14.23645704153062,2.1791596,4.6,C
57100066,145.355853381323,77.9804327098125,0.26163587,0.589200004667871,13.8801682966353,1.54593,5.4,C
66100110,249.198992358063,76.8784872484498,0.39110103,0.683565929944288,14.1372694537035,1.887504,9.5,C
66600062,274.7301045369111,76.42347675596864,0.6573879,0.8868212149677225,14.613292460177526,1.3990906,6.7,C
81300096,240.4364648705664,75.31335962049198,0.3140647,0.8377112945616312,14.36401766547341,3.6807916,7.6,C
86700113,116.53039326085354,74.53936939981007,0.59851557,0.5369602495684176,13.929024112722356,5.067412,5.4,C
86900149,125.630952380273,75.0251097290762,0.3514418,0.607016223504822,13.9627425617927,2.2382283,3.2,C
107700102,255.8012646238764,72.77614837158906,0.39675683,0.6947614368497703,14.16127640659215,2.9623399,15.1,C
114500042,154.51991549568936,72.35216285336405,0.08486449,0.8648440722555014,14.300046658850768,6.2957644,6.8,C
115000087,172.69879254934057,72.35064746313175,0.35415077,0.9235316895021294,14.510840504483152,6.0876946,5.7,C
157400151,200.0348160996348,70.07755105312842,0.3132195,1.0877707836176942,14.703933496485584,5.4540887,15.4,C
167400064,157.8361849738176,68.65766569193147,0.2763359,0.6517313606602576,14.018635061141053,1.326152,4.9,C
190700072,138.31352890922184,67.27131070392359,0.045543525,0.619888522959208,13.849758122948275,2.9557786,12.7,C
262600046,266.1914126620246,63.32668647366036,0.12579846,0.6676522246096197,13.980576641571547,1.0055362,6.8,C
291200081,238.085377668276,61.6594377457721,0.5296663,0.992197686660628,14.6933597179237,4.1602073,6.0,C
349900012,118.98397265761318,58.58695224768698,0.32956555,0.8186094328669664,14.341567590496147,5.466964,2.16,C
349900031,118.35148934093657,59.04834189471955,0.40256178,0.56088704847728,13.885315933254732,1.6941513,5.4,C
