CLUSTER_ID,RA_BCG,DEC_BCG,PZ_BCG,R_500,M_500,SHAPE_R_BCG,R_EIN,GRADE
40200145,248.827533861685,80.2785110544693,0.20292965,0.748229082954252,14.1638556255317,3.734226,17.5,A
51900089,221.824040512043,78.0430529594648,0.27856445,0.868773464673236,14.3942216196906,1.0401055,9.5,A
126500033,234.880028083421,71.9016875100557,0.38535854,0.908044151731741,14.5043693461627,1.9233638,6.5,A
137100046,248.549780414312,70.9302467650529,0.24088652,0.962681140138071,14.5099633312445,13.4144,5.9,A
301800111,125.647321068533,61.8654164878625,0.55437714,0.94156137174481,14.6378743267271,2.3753164,14.8,A
302400048,139.589248194277,61.1747775994753,0.27622172,1.13353544672457,14.7396795293885,6.9136195,4.3,A
423600110,189.400844718995,55.5619063745317,0.39141503,0.860286682989339,14.437015510001,1.4217676,6.7,A
579000026,110.48911029531811,49.880088640029705,0.3927323,0.9727352682406584,14.597731084891722,5.1827154,8.3,A
603700068,159.67786530651,48.8222796865412,0.43562385,0.650397691594286,14.0949426897367,3.1165795,11.1,A
652800017,227.828047580378,47.2278607789243,0.44303748,0.824309280301139,14.407442365342,2.619616,5.4,A
821000055,205.886875309182,41.9176307186722,0.41983348,0.899673444993807,14.5096599390382,6.935045,12.4,A
897400013,199.547976608055,39.7074767056893,0.48108697,0.780900729670656,14.3563784378906,3.985564,9.5,A
1100600034,176.8471049404429,33.53157629422104,0.21245071,0.8322992639047936,14.307010624075756,7.0937495,4.9,A
1124500021,153.79187606595,32.5312681713475,0.25561863,1.09254710596745,14.6818293505324,6.9443116,12.9,A
1146500025,102.619349866112,32.7367862684277,0.70973116,0.603511603128244,14.1390535709568,0.7282048,6.5,A
1357000101,182.348656546473,26.6796381727207,0.5421925,1.17278138819808,14.9176818751221,2.4168186,10.8,A
1458400064,168.294316492183,23.944296586968,0.31848246,1.03825960759847,14.6458145414004,3.4659083,13.0,A
1490500061,260.840198130097,23.8443006293171,0.23934802,1.08326142667757,14.6629883811475,6.9276094,12.1,A
1507200143,135.011398065259,22.5678005868797,0.4804703,0.845315818826842,14.4593321404532,2.9654808,7.8,A
1547700076,345.071893173478,22.2249024828067,0.41357857,0.952278842067489,14.58053690867,7.958788,17.8,A
1638100131,177.13806669151,19.500873441889,0.41004768,0.683778512538026,14.1472086688067,3.212121,5.1,A
1686700136,140.357273239314,18.1715223760522,0.69260484,0.842052584353283,14.5641123966402,1.2530296,10.8,A
1905700079,339.630471063225,13.3321843210931,0.41038144,0.868462147035796,14.4588833998457,2.188171,8.9,A
2019100029,133.619702362313,10.1374304266444,0.29550216,0.778645443214418,14.2597106346643,6.700296,4.7,A
2063400051,36.2339693804523,8.82999183134726,0.31006515,0.982397754987222,14.5696423127632,9.273126,7.3,A
2368000128,359.889742667233,2.13993004607268,0.41690463,1.02634551810178,14.6798052774309,1.5203298,9.5,A
2449900135,72.97509988464994,0.1050182575328562,0.42091295,1.1874981589890905,14.871850016707471,1.9037218,48.0,A
2498800056,39.96965673013237,-1.5719320887920778,0.38559598,1.305117467885883,14.97711634182933,3.6796424,46.2,A
2520700142,348.477041521019,-1.08011316431097,0.53892905,0.799060292634273,14.4160839749301,1.1196467,7.6,A
2544200056,317.830609664526,-1.23984834347484,0.6327994,0.992493968430878,14.7471863778526,4.161556,12.2,A
2545900014,341.801199783811,-2.09385611099794,0.34197,1.0870045185167,14.7171474132778,2.494315,9.0,A
2729700097,46.7684796201978,-6.47951288080446,0.33636802,1.01503253364073,14.6251277658547,10.686707,16.8,A
2737600058,157.613474887226,-6.68581811268187,0.43512842,0.836730004327725,14.4229101893841,1.2665213,5.4,A
2753000134,14.7039715572913,-7.36576627969885,0.6282938,0.877723510197058,14.5847346886427,3.135195,15.7,A
2830700046,26.7333882759266,-9.49787646997205,0.43415424,1.13065944653616,14.81465524706,1.2314309,11.4,A
2885000044,70.4147497538469,-9.77430849645785,0.42448798,1.18534789459036,14.871297868651,6.2827816,35.7,A
2885200085,73.5287437477126,-10.2235358636213,0.25892374,1.25183394085697,14.8607250586937,13.624,6.5,A
3011800050,53.6254390808628,-13.1865572214623,0.35764083,0.890097487000286,14.4645307277262,2.529437,5.7,A
3032600037,346.766762396269,-13.3744147977947,0.50309426,0.910936713899741,14.5683472274575,1.4836559,6.2,A
3058800065,354.826631455791,-13.940801491817,0.5610627,0.679525922342658,14.2164053859165,3.6442132,9.0,A
3370400127,57.0096922242077,-21.7508404475193,0.3607482,1.27675121527691,14.9360813503709,0.85462064,9.5,A
3806300061,66.161190890161,-33.2949211436387,0.5892259,0.924805248880787,14.6325293703242,3.0153024,5.4,A
3884800186,90.9854443365444,-35.9682483837895,0.46930563,0.899790673703698,14.5349875580266,1.182445,14.6,A
4213100033,90.6934219759887,-45.4116570752708,0.390318,0.597926427552567,13.9624785077937,1.554511,7.8,A
4252900063,343.58555218640566,-46.34685556315679,0.26641342,1.288587222888414,14.902007039941118,6.4093146,31.6,A
4445600064,16.5724537552972,-53.9272316827904,0.46850315,1.03223419087774,14.7134875607226,2.0520132,12.4,A
4463800049,357.908682365428,-54.8816878033258,0.37172514,1.08143989109209,14.7252380665214,2.2995787,7.0,A
